Date,OrderID,Product,Category,Region,Quantity,UnitPrice,Revenue,Cost,Profit,Discount,CustomerID,CustomerSegment
2023-02-24,ORD-19562,Smart Watch Ultra,Electronics,Latin America,1,226.69,226.69,186.55,40.14,0.0,CUST-3079,SMB
2023-02-24,ORD-12995,Bookshelf Organizer,Home & Office,North America,1,80.15,80.15,39.04,41.11,0.0,CUST-2253,Consumer
2023-02-26,ORD-11888,Portable SSD 1TB,Electronics,Asia Pacific,2,70.23,140.46,115.2,25.26,0.0,CUST-2956,SMB
2023-02-26,ORD-19029,Phone Case Premium,Accessories,Asia Pacific,21,16.5,346.5,143.64,202.86,20.0,CUST-3164,SMB
2023-02-27,ORD-16626,Wireless Earbuds,Electronics,Asia Pacific,1,50.47,50.47,31.98,18.49,0.0,CUST-3891,Government
2023-02-27,ORD-16183,Mechanical Keyboard,Electronics,Europe,1,93.13,93.13,59.6,33.53,0.0,CUST-1063,SMB
2023-02-28,ORD-19896,VPN Annual Sub,Software & Services,Middle East,5,72.81,364.05,50.6,313.45,0.0,CUST-3858,Government
2023-02-28,ORD-17628,Air Purifier,Home & Office,North America,4,183.98,735.92,393.36,342.56,0.0,CUST-2413,SMB
2023-03-01,ORD-11970,Wireless Earbuds,Electronics,North America,2,78.45,156.9,63.48,93.42,0.0,CUST-4183,Government
2023-03-04,ORD-11748,Sports Shorts,Clothing,Asia Pacific,7,33.04,231.28,83.16,148.12,0.0,CUST-2345,Consumer
2023-03-04,ORD-16323,Smart Watch Ultra,Electronics,Asia Pacific,4,312.16,1248.64,774.36,474.28,15.0,CUST-2195,Consumer
2023-03-04,ORD-12431,Running Shoes,Clothing,Latin America,3,103.82,311.46,138.81,172.65,0.0,CUST-2129,SMB
2023-03-04,ORD-15385,Coffee Maker Pro,Home & Office,Middle East,6,132.23,793.38,376.86,416.52,0.0,CUST-2734,SMB
2023-03-04,ORD-12873,Sunglasses,Accessories,Europe,2,66.48,132.96,35.16,97.8,5.0,CUST-3800,Enterprise
2023-03-06,ORD-19275,Smart Watch Ultra,Electronics,Asia Pacific,2,288.56,577.12,389.88,187.24,0.0,CUST-2350,Consumer
2023-03-06,ORD-15901,VPN Annual Sub,Software & Services,Latin America,1,66.92,66.92,10.46,56.46,0.0,CUST-1782,Consumer
2023-03-06,ORD-12831,Wireless Earbuds,Electronics,Latin America,1,65.03,65.03,32.75,32.28,0.0,CUST-3608,Consumer
2023-03-07,ORD-17641,LED Desk Lamp,Home & Office,North America,4,46.19,184.76,60.68,124.08,0.0,CUST-2713,Consumer
2023-03-07,ORD-12401,Bookshelf Organizer,Home & Office,Middle East,5,90.98,454.9,182.1,272.8,10.0,CUST-3760,Consumer
2023-03-08,ORD-15247,Travel Mug,Accessories,Asia Pacific,1,18.03,18.03,6.17,11.86,0.0,CUST-2824,Government
2023-03-09,ORD-19034,Cloud Storage Plan,Software & Services,Europe,2,91.47,182.94,30.1,152.84,0.0,CUST-2884,Consumer
2023-03-09,ORD-15962,Denim Jeans,Clothing,Europe,3,86.02,258.06,72.42,185.64,10.0,CUST-3005,SMB
2023-03-10,ORD-11447,Design Suite License,Software & Services,North America,1,309.33,309.33,44.34,264.99,25.0,CUST-2513,Enterprise
2023-03-10,ORD-16808,Winter Hoodie,Clothing,Asia Pacific,1,46.43,46.43,20.85,25.58,0.0,CUST-1580,Consumer
2023-03-12,ORD-10897,USB-C Hub,Electronics,Europe,1,50.83,50.83,18.29,32.54,0.0,CUST-3073,SMB
2023-03-13,ORD-10239,Bookshelf Organizer,Home & Office,North America,3,88.0,264.0,116.76,147.24,0.0,CUST-1582,Consumer
2023-03-13,ORD-21462,Coffee Maker Pro,Home & Office,Asia Pacific,1,134.08,134.08,62.24,71.84,0.0,CUST-1475,Consumer
2023-03-14,ORD-11326,Sports Shorts,Clothing,North America,1,34.45,34.45,11.69,22.76,0.0,CUST-4081,SMB
2023-03-14,ORD-18169,Smart Watch Ultra,Electronics,Europe,1,359.39,359.39,202.33,157.06,0.0,CUST-1492,Enterprise
2023-03-15,ORD-10097,VPN Annual Sub,Software & Services,Asia Pacific,10,72.13,721.3,98.6,622.7,0.0,CUST-4714,Consumer
2023-03-16,ORD-18187,Coffee Maker Pro,Home & Office,North America,1,134.46,134.46,65.89,68.57,0.0,CUST-1524,Government
2023-03-16,ORD-16049,Smart Watch Ultra,Electronics,North America,1,384.49,384.49,185.32,199.17,0.0,CUST-4968,SMB
2023-03-16,ORD-20032,Running Shoes,Clothing,North America,3,131.03,393.09,148.86,244.23,0.0,CUST-2640,Enterprise
2023-03-16,ORD-11622,Air Purifier,Home & Office,Europe,1,212.59,212.59,90.86,121.73,20.0,CUST-3761,SMB
2023-03-16,ORD-15917,Winter Hoodie,Clothing,North America,4,58.18,232.72,82.64,150.08,0.0,CUST-2596,SMB
2023-03-16,ORD-13417,Portable SSD 1TB,Electronics,North America,4,108.38,433.52,212.4,221.12,0.0,CUST-2660,Consumer
2023-03-17,ORD-12519,Smart Watch Ultra,Electronics,North America,1,341.15,341.15,204.71,136.44,0.0,CUST-3026,SMB
2023-03-17,ORD-12275,Mechanical Keyboard,Electronics,North America,2,127.56,255.12,112.14,142.98,0.0,CUST-2750,Consumer
2023-03-18,ORD-19950,Cloud Storage Plan,Software & Services,Asia Pacific,4,95.35,381.4,58.64,322.76,0.0,CUST-1743,Enterprise
2023-03-18,ORD-13687,Denim Jeans,Clothing,North America,1,66.01,66.01,24.5,41.51,15.0,CUST-1910,Consumer
2023-03-18,ORD-10474,Laptop Pro X1,Electronics,Latin America,1,749.93,749.93,616.89,133.04,0.0,CUST-4301,Enterprise
2023-03-19,ORD-11747,Ergonomic Chair,Home & Office,Europe,1,480.38,480.38,211.76,268.62,0.0,CUST-3424,Enterprise
2023-03-19,ORD-12901,Gaming Mouse,Electronics,North America,1,64.89,64.89,28.02,36.87,0.0,CUST-1118,Enterprise
2023-03-19,ORD-18985,VPN Annual Sub,Software & Services,Europe,4,83.77,335.08,38.92,296.16,0.0,CUST-4913,Government
2023-03-19,ORD-16421,Wireless Earbuds,Electronics,Asia Pacific,4,70.16,280.64,133.84,146.8,10.0,CUST-2620,Consumer
2023-03-20,ORD-16783,Project Mgmt Tool,Software & Services,Asia Pacific,1,122.01,122.01,22.23,99.78,0.0,CUST-1366,SMB
2023-03-20,ORD-15600,Smart Watch Ultra,Electronics,Europe,1,414.53,414.53,203.2,211.33,15.0,CUST-1684,SMB
2023-03-20,ORD-20891,Wireless Earbuds,Electronics,Europe,1,85.35,85.35,33.21,52.14,0.0,CUST-4821,SMB
2023-03-21,ORD-11838,Portable SSD 1TB,Electronics,Middle East,1,112.08,112.08,55.6,56.48,15.0,CUST-4708,Consumer
2023-03-21,ORD-18128,Laptop Pro X1,Electronics,North America,2,1046.91,2093.82,1234.2,859.62,10.0,CUST-4618,Consumer
2023-03-21,ORD-10806,Sunglasses,Accessories,Europe,2,59.88,119.76,37.42,82.34,0.0,CUST-2178,SMB
2023-03-21,ORD-12107,Travel Mug,Accessories,Asia Pacific,3,15.3,45.9,18.15,27.75,10.0,CUST-3586,Consumer
2023-03-21,ORD-10911,Denim Jeans,Clothing,Europe,1,64.5,64.5,23.22,41.28,0.0,CUST-1630,Consumer
2023-03-22,ORD-13068,USB-C Hub,Electronics,Europe,3,49.31,147.93,55.47,92.46,0.0,CUST-4263,SMB
2023-03-22,ORD-15754,Standing Desk,Home & Office,North America,1,545.47,545.47,332.47,213.0,0.0,CUST-1783,Enterprise
2023-03-22,ORD-19020,Backpack Elite,Accessories,North America,1,82.45,82.45,35.03,47.42,0.0,CUST-3957,SMB
2023-03-22,ORD-19311,Mechanical Keyboard,Electronics,North America,2,122.62,245.24,111.46,133.78,0.0,CUST-4977,SMB
2023-03-22,ORD-18390,Project Mgmt Tool,Software & Services,Asia Pacific,1,140.6,140.6,22.31,118.29,0.0,CUST-4569,Consumer
2023-03-23,ORD-13075,Running Shoes,Clothing,North America,2,119.96,239.92,93.66,146.26,0.0,CUST-3845,Consumer
2023-03-23,ORD-10384,Denim Jeans,Clothing,North America,1,65.64,65.64,24.03,41.61,0.0,CUST-3842,SMB
2023-03-23,ORD-15495,Wireless Earbuds,Electronics,North America,3,84.12,252.36,100.74,151.62,0.0,CUST-3739,SMB
2023-03-23,ORD-20126,Travel Mug,Accessories,Europe,8,20.22,161.76,48.96,112.8,0.0,CUST-3463,Consumer
2023-03-24,ORD-19594,Winter Hoodie,Clothing,North America,2,60.14,120.28,41.74,78.54,0.0,CUST-2222,SMB
2023-03-24,ORD-11411,Denim Jeans,Clothing,Europe,3,73.56,220.68,73.56,147.12,0.0,CUST-3740,Consumer
2023-03-25,ORD-14969,Travel Mug,Accessories,Asia Pacific,1,15.84,15.84,6.12,9.72,0.0,CUST-1299,SMB
2023-03-25,ORD-16011,Leather Wallet,Accessories,Europe,1,59.29,59.29,16.28,43.01,0.0,CUST-4129,Consumer
2023-03-25,ORD-13605,Premium Jacket,Clothing,Europe,2,178.97,357.94,145.7,212.24,5.0,CUST-3035,SMB
2023-03-25,ORD-17731,Phone Case Premium,Accessories,Latin America,6,19.98,119.88,40.74,79.14,0.0,CUST-4675,SMB
2023-03-25,ORD-11016,Phone Case Premium,Accessories,North America,2,26.15,52.3,14.28,38.02,0.0,CUST-3045,Enterprise
2023-03-26,ORD-10115,Denim Jeans,Clothing,North America,4,67.61,270.44,96.4,174.04,0.0,CUST-4301,Consumer
2023-03-26,ORD-15853,Laptop Pro X1,Electronics,North America,2,874.62,1749.24,1299.32,449.92,0.0,CUST-3649,SMB
2023-03-26,ORD-12059,Coffee Maker Pro,Home & Office,Europe,5,165.35,826.75,340.25,486.5,0.0,CUST-4508,SMB
2023-03-27,ORD-19322,Premium Jacket,Clothing,Europe,1,203.61,203.61,69.95,133.66,0.0,CUST-4421,Government
2023-03-27,ORD-18458,Denim Jeans,Clothing,Asia Pacific,2,55.47,110.94,47.3,63.64,0.0,CUST-3624,Consumer
2023-03-27,ORD-10389,Casual T-Shirt,Clothing,Latin America,5,23.87,119.35,43.05,76.3,0.0,CUST-4164,SMB
2023-03-28,ORD-10514,Sports Shorts,Clothing,Asia Pacific,7,33.1,231.7,82.04,149.66,0.0,CUST-3724,Consumer
2023-03-28,ORD-18113,Premium Jacket,Clothing,Europe,1,238.86,238.86,73.26,165.6,0.0,CUST-3443,Consumer
2023-03-28,ORD-20673,Travel Mug,Accessories,Asia Pacific,5,15.86,79.3,31.25,48.05,0.0,CUST-4087,Consumer
2023-03-28,ORD-14017,Mechanical Keyboard,Electronics,Latin America,1,117.41,117.41,56.57,60.84,0.0,CUST-2796,Consumer
2023-03-28,ORD-21737,Casual T-Shirt,Clothing,Europe,2,30.4,60.8,18.44,42.36,0.0,CUST-4921,Government
2023-03-30,ORD-10503,Bookshelf Organizer,Home & Office,North America,2,88.17,176.34,72.34,104.0,0.0,CUST-3353,Government
2023-03-30,ORD-21785,Phone Case Premium,Accessories,North America,2,24.9,49.8,13.72,36.08,0.0,CUST-3934,Enterprise
2023-03-30,ORD-10099,VPN Annual Sub,Software & Services,Latin America,1,64.27,64.27,10.1,54.17,0.0,CUST-4747,Government
2023-03-30,ORD-20260,USB-C Hub,Electronics,Europe,14,48.95,685.3,244.86,440.44,0.0,CUST-3028,SMB
2023-03-31,ORD-10530,Running Shoes,Clothing,Latin America,1,107.12,107.12,46.16,60.96,0.0,CUST-1831,Enterprise
2023-03-31,ORD-12561,Ergonomic Chair,Home & Office,North America,1,349.27,349.27,205.68,143.59,0.0,CUST-3982,SMB
2023-04-01,ORD-21289,Sports Shorts,Clothing,North America,15,37.37,560.55,178.5,382.05,10.0,CUST-2029,SMB
2023-04-01,ORD-19543,Casual T-Shirt,Clothing,North America,1,30.42,30.42,8.77,21.65,0.0,CUST-3791,SMB
2023-04-02,ORD-18578,Casual T-Shirt,Clothing,Europe,5,32.24,161.2,43.15,118.05,25.0,CUST-3701,SMB
2023-04-02,ORD-20158,Running Shoes,Clothing,Europe,1,139.71,139.71,48.94,90.77,5.0,CUST-3266,SMB
2023-04-02,ORD-10582,Coffee Maker Pro,Home & Office,Europe,1,145.42,145.42,66.32,79.1,0.0,CUST-3354,Enterprise
2023-04-03,ORD-16355,Coffee Maker Pro,Home & Office,Europe,2,157.07,314.14,130.5,183.64,0.0,CUST-4597,Consumer
2023-04-04,ORD-18037,Mechanical Keyboard,Electronics,North America,6,120.96,725.76,350.58,375.18,15.0,CUST-4684,Consumer
2023-04-04,ORD-20548,Project Mgmt Tool,Software & Services,Europe,4,149.6,598.4,91.56,506.84,0.0,CUST-4915,SMB
2023-04-05,ORD-21779,Travel Mug,Accessories,Middle East,6,18.98,113.88,34.32,79.56,0.0,CUST-2069,SMB
2023-04-05,ORD-18420,Standing Desk,Home & Office,Europe,2,497.52,995.04,612.2,382.84,0.0,CUST-1871,Consumer
2023-04-05,ORD-14633,Travel Mug,Accessories,Europe,3,19.25,57.75,17.13,40.62,0.0,CUST-2458,Consumer
2023-04-05,ORD-12103,LED Desk Lamp,Home & Office,Asia Pacific,5,37.94,189.7,73.7,116.0,25.0,CUST-4868,Government
2023-04-06,ORD-11593,Sunglasses,Accessories,North America,1,51.88,51.88,18.22,33.66,5.0,CUST-3686,Consumer
2023-04-06,ORD-12675,Bookshelf Organizer,Home & Office,Europe,2,87.03,174.06,72.62,101.44,0.0,CUST-1493,Government
2023-04-06,ORD-17676,4K Monitor,Electronics,North America,1,398.9,398.9,278.25,120.65,0.0,CUST-2100,SMB
2023-04-06,ORD-19434,Sports Shorts,Clothing,Asia Pacific,10,31.64,316.4,115.9,200.5,0.0,CUST-4859,Enterprise
2023-04-06,ORD-13518,Winter Hoodie,Clothing,North America,6,51.9,311.4,128.7,182.7,0.0,CUST-1158,Enterprise
2023-04-06,ORD-17708,LED Desk Lamp,Home & Office,Europe,3,42.49,127.47,43.83,83.64,0.0,CUST-3196,SMB
2023-04-07,ORD-14574,Gaming Mouse,Electronics,Latin America,1,56.86,56.86,26.9,29.96,0.0,CUST-4400,Enterprise
2023-04-07,ORD-12044,Premium Jacket,Clothing,Europe,5,198.01,990.05,365.7,624.35,25.0,CUST-2438,Enterprise
2023-04-07,ORD-15652,Sports Shorts,Clothing,Asia Pacific,3,28.83,86.49,36.39,50.1,0.0,CUST-4123,Enterprise
2023-04-08,ORD-17244,Wireless Earbuds,Electronics,North America,1,74.18,74.18,31.33,42.85,0.0,CUST-2362,Enterprise
2023-04-08,ORD-19403,Bookshelf Organizer,Home & Office,Asia Pacific,2,69.48,138.96,75.86,63.1,0.0,CUST-1437,Enterprise
2023-04-08,ORD-11175,Phone Case Premium,Accessories,Asia Pacific,2,23.53,47.06,13.66,33.4,0.0,CUST-1201,Consumer
2023-04-09,ORD-12880,Phone Case Premium,Accessories,Latin America,19,19.85,377.15,139.46,237.69,0.0,CUST-3651,Government
2023-04-09,ORD-10357,4K Monitor,Electronics,Asia Pacific,1,414.64,414.64,281.06,133.58,0.0,CUST-1479,Consumer
2023-04-10,ORD-19282,Bookshelf Organizer,Home & Office,North America,2,90.48,180.96,76.36,104.6,0.0,CUST-3315,SMB
2023-04-10,ORD-13850,Leather Wallet,Accessories,Europe,4,48.22,192.88,65.6,127.28,0.0,CUST-3130,Consumer
2023-04-11,ORD-12595,Mechanical Keyboard,Electronics,North America,2,127.52,255.04,116.74,138.3,10.0,CUST-4006,SMB
2023-04-11,ORD-21347,USB-C Hub,Electronics,North America,4,49.65,198.6,73.2,125.4,0.0,CUST-3400,Consumer
2023-04-11,ORD-20416,Air Purifier,Home & Office,Europe,2,213.55,427.1,196.42,230.68,20.0,CUST-2800,Enterprise
2023-04-11,ORD-11523,Ergonomic Chair,Home & Office,North America,1,424.77,424.77,206.74,218.03,0.0,CUST-3179,SMB
2023-04-11,ORD-19981,Portable SSD 1TB,Electronics,Europe,1,132.96,132.96,52.76,80.2,5.0,CUST-2642,Consumer
2023-04-11,ORD-18963,LED Desk Lamp,Home & Office,North America,2,46.95,93.9,28.82,65.08,5.0,CUST-4970,Consumer
2023-04-12,ORD-20774,Air Purifier,Home & Office,North America,9,189.14,1702.26,869.94,832.32,0.0,CUST-2450,Enterprise
2023-04-13,ORD-14936,Air Purifier,Home & Office,North America,3,200.85,602.55,278.94,323.61,0.0,CUST-4092,Consumer
2023-04-13,ORD-21928,Mechanical Keyboard,Electronics,Asia Pacific,3,128.87,386.61,167.07,219.54,0.0,CUST-1121,Government
2023-04-14,ORD-16019,Design Suite License,Software & Services,North America,2,281.38,562.76,88.46,474.3,10.0,CUST-4852,Consumer
2023-04-14,ORD-11005,Premium Jacket,Clothing,Europe,1,205.35,205.35,71.94,133.41,10.0,CUST-3173,Consumer
2023-04-14,ORD-16178,USB-C Hub,Electronics,Middle East,7,56.95,398.65,131.53,267.12,0.0,CUST-2923,SMB
2023-04-15,ORD-18025,Laptop Pro X1,Electronics,Europe,2,1005.04,2010.08,1199.38,810.7,0.0,CUST-4545,Enterprise
2023-04-15,ORD-15698,Cloud Storage Plan,Software & Services,North America,3,113.41,340.23,46.86,293.37,0.0,CUST-3197,Consumer
2023-04-16,ORD-17443,Smart Watch Ultra,Electronics,Latin America,2,289.21,578.42,404.26,174.16,0.0,CUST-1620,Government
2023-04-16,ORD-14996,Cloud Storage Plan,Software & Services,Asia Pacific,5,95.19,475.95,74.4,401.55,0.0,CUST-3234,Government
2023-04-16,ORD-21291,Ergonomic Chair,Home & Office,North America,1,374.09,374.09,212.59,161.5,5.0,CUST-2283,SMB
2023-04-16,ORD-14712,Laptop Pro X1,Electronics,Europe,1,969.43,969.43,637.86,331.57,0.0,CUST-3137,Enterprise
2023-04-16,ORD-17723,Portable SSD 1TB,Electronics,North America,1,106.22,106.22,54.99,51.23,25.0,CUST-4887,Government
2023-04-16,ORD-12817,Project Mgmt Tool,Software & Services,North America,1,136.41,136.41,23.02,113.39,0.0,CUST-1421,Enterprise
2023-04-17,ORD-12485,Denim Jeans,Clothing,North America,1,74.42,74.42,24.06,50.36,0.0,CUST-2023,Consumer
2023-04-17,ORD-13107,Cloud Storage Plan,Software & Services,Asia Pacific,1,80.41,80.41,15.67,64.74,0.0,CUST-4279,SMB
2023-04-17,ORD-11721,LED Desk Lamp,Home & Office,Europe,1,47.88,47.88,15.37,32.51,0.0,CUST-4592,SMB
2023-04-18,ORD-11584,Air Purifier,Home & Office,Europe,1,202.29,202.29,97.65,104.64,5.0,CUST-3827,SMB
2023-04-18,ORD-18021,LED Desk Lamp,Home & Office,Latin America,1,34.79,34.79,15.6,19.19,20.0,CUST-1489,Enterprise
2023-04-19,ORD-11248,Cloud Storage Plan,Software & Services,Europe,1,116.05,116.05,15.28,100.77,0.0,CUST-2942,SMB
2023-04-20,ORD-14166,Bookshelf Organizer,Home & Office,North America,3,91.84,275.52,113.01,162.51,25.0,CUST-2121,Enterprise
2023-04-20,ORD-15565,Project Mgmt Tool,Software & Services,North America,2,143.6,287.2,42.92,244.28,0.0,CUST-3619,Enterprise
2023-04-22,ORD-16910,Cloud Storage Plan,Software & Services,Asia Pacific,2,98.55,197.1,30.16,166.94,0.0,CUST-2784,Consumer
2023-04-22,ORD-16342,Denim Jeans,Clothing,North America,1,71.46,71.46,23.05,48.41,0.0,CUST-4205,SMB
2023-04-22,ORD-11799,Premium Jacket,Clothing,North America,2,190.3,380.6,143.88,236.72,0.0,CUST-3982,Consumer
2023-04-22,ORD-14140,Bookshelf Organizer,Home & Office,North America,1,87.02,87.02,39.83,47.19,0.0,CUST-4935,Consumer
2023-04-22,ORD-16575,Running Shoes,Clothing,Asia Pacific,2,122.2,244.4,96.54,147.86,20.0,CUST-2311,Enterprise
2023-04-22,ORD-14728,Project Mgmt Tool,Software & Services,Europe,3,174.72,524.16,63.93,460.23,0.0,CUST-1712,Consumer
2023-04-23,ORD-14645,Laptop Pro X1,Electronics,North America,1,945.1,945.1,641.62,303.48,0.0,CUST-3515,SMB
2023-04-23,ORD-10708,Mechanical Keyboard,Electronics,North America,10,126.68,1266.8,594.4,672.4,0.0,CUST-4763,Enterprise
2023-04-23,ORD-20050,Sunglasses,Accessories,North America,4,59.68,238.72,72.64,166.08,0.0,CUST-2599,Consumer
2023-04-23,ORD-13361,Ergonomic Chair,Home & Office,North America,4,460.07,1840.28,810.04,1030.24,0.0,CUST-1898,Enterprise
2023-04-23,ORD-10035,Smart Watch Ultra,Electronics,Middle East,1,405.39,405.39,198.82,206.57,0.0,CUST-4486,Government
2023-04-24,ORD-14535,Leather Wallet,Accessories,Europe,8,56.88,455.04,130.48,324.56,0.0,CUST-1731,SMB
2023-04-24,ORD-17089,Design Suite License,Software & Services,North America,1,296.99,296.99,43.57,253.42,0.0,CUST-2606,SMB
